Type,Description,Sub category,sub-sub-category
aortocoronary bypass,aortocoronary bypass,,
AOSD,AOSD,,
aperistalsis,aperistalsis,,
apical contraction,Ineffective and prolonged apical contraction,,
Apical HCM,Apical HCM,,
apneic or hypopneic events,apneic or hypopneic events,,
application of nitroglycerine,application of nitroglycerine,,
Arbutamine,Arbutamine,,
Arbutamine,Dobutamine,,
arm,left arm,,
arrhythmia,a common arrhythmia,,
arrhythmia,a common arrhythmia,,
arrhythmia,arrhythmias,,
arrhythmia,arrhythmias,,
arrhythmia,tachyarrhythmia,,
arteriovenous malformations,arteriovenous malformations,,
artery,a less common anomaly of a left anterior descending artery,,
artery,an aberrant right subclavian artery,,
artery,Fistula of right internal thoracic artery,,
artery,hypoxia of the internal mammary arteries,,
artery,intercostal artery ischemia,,
artery,The radial artery provocation test,,
artery,Unilateral pulmonary artery agenesis,,
as interested,as interested,,
aspiration,aspiration,,
Asthma,Asthma,,
Asthma,breathlessness,,
ataxia,ataxia,,
atherosclerotic coronary artery disease,Atherosclerotic CAD,atherosclerotic,
atherosclerotic coronary artery disease,atherosclerotic coronary artery disease,atherosclerotic,
atraumatic clostridial myonecrosis,atraumatic clostridial myonecrosis,,
atrial,a right atrial chemodectoma,,
atrial,atrial metastasis,,
atrial,incarceration of atrial tissue,,
atrial,right atrial compression,,
atrial fibrillation,AF,,
atrial fibrillation,AF,,
atrial fibrillation,AF ablation,,
atrial fibrillation,atrial fibrillation,,
atrial fibrillation,atrial fibrillation,,
atrial fibrillation,atrial fibrillation,,
atrial fibrillation,atrial fibrillation ( AF ) ablations,,
atrial fibrillation,The sudden onset of atrial fibrillation,,
atrioventricular block,high-grade atrioventricular block,,
autonomic,autonomic effects,,
autonomic,autonomic symptoms,,
Autonomy,Autonomy,,
bacterial hepatic abscess,Intra-pericardial rupture of bacterial hepatic abscess,,
benign,benign,,
benign,benign diseases,,
benign,benign etiologies,,
benign,benign sources,,
benign,benign and malignant breast lesions,,
Bethanechol,Bethanechol,,
Bethanechol,bethanechol injection,,
bicycle ergometry,bicycle ergometry,,
blood,An absolute reduction of blood supply,,
blood,blood levels of AP,,
blood,blood platelets,,
blood,blood stasis,,
blood,high blood pressure,,
blunt chest trauma,blunt chest trauma,blunt trauma,
blunt chest trauma,blunt chest trauma,blunt trauma,
blunt chest trauma,blunt chest trauma,blunt trauma,
blunt chest trauma,blunt chest trauma,blunt trauma,
blunt chest trauma,blunt chest trauma,blunt trauma,
blunt chest trauma,blunt chest trauma,blunt trauma,
blunt chest trauma,blunt thoracic trauma,blunt trauma,
Boerhaave syndrome,Boerhaave 's syndrome,,
Boerhaave syndrome,Boerhaave syndrome,,
bradycardia,bradycardia,,
bradycardia,bradycardias,,
bronchioles,A bronchogenic cyst,,
bronchioles,a successful bronchial artery embolization,,
bronchioles,bronchial hyper-reactivity,,
bronchioles,bronchitis,,
bronchioles,bronchoscopy,,
bronchioles,bronchospasm,,
bronchioles,obstruction of the right main bronchus,,
bronchioles,Tracheobronchial GCM,,
bypass surgery,bypass surgery,,
bypass surgery,triple-bypass surgery,,
caffeine intake,caffeine intake,,
calcification,calcification,,
calcium,calcium antagonists,,
calcium,substitution of calcium,,
cancer,cancer,,
cancer,"chest , urological or gynaecological cancer",,
cancer,intramuscular lipoma,,
cancer,lung cancer,,
cancer,right upper lung cancer,,
cancer,the cancer patient,,
cancer,DOC-producing adrenocortical cancer,,
Cancer therapies,Chemotherapy,chemotherapy,
Cancer therapies,three cycles of combination chemotherapy,chemotherapy,
Cancer therapies,Cancer therapies,,
Candida albicans osteomyelitis,Candida albicans osteomyelitis,,
Capecitabine,Capecitabine,,
Capecitabine,capecitabine-induced cardiac toxicity,,
captopril,captopril,,
carcinoma,a thymic carcinoma,,
carcinoma,colorectal carcinoma,,
carcinoma,thymic carcinoma,,
cardiac,atherosclerotic heart disease,atherosclerotic,
cardiac,"cardiac , respiratory , gastrointestinal and musculoskeletal illnesses",gastrointestinal,
cardiac,A cardiac cause,,
cardiac,a cardiac cause,,
cardiac,a cardiac condition,,
cardiac,a cardiac pathology,,
cardiac,altered cardiac sensation,,
cardiac,Cardiac anaphylaxis,,
cardiac,cardiac causes,,
cardiac,cardiac causes,,
cardiac,Cardiac compression,,
cardiac,cardiac device lead placement,,
cardiac,Cardiac disease,,
cardiac,cardiac disease,,
cardiac,cardiac disease,,
cardiac,cardiac disease,,
cardiac,cardiac diseases,,
cardiac,cardiac diseases,,
cardiac,cardiac diseases,,
cardiac,cardiac involvement,,
cardiac,cardiac reasons,,
cardiac,Cardiac rupture,,
cardiac,cardiac sarcoidosis,,
cardiac,cardiac spinal ( sympathetic ) sensory neurons,,
cardiac,cardiac tamponade,,
cardiac,cardiac toxicity,,
cardiac,other cardiac or thoracic emergencies,,
cardiac,other cardiac-related etiologies,,
cardiac,Primary cardiac osteosarcoma,,
cardiac,significant cardiac pathology,,
cardiac,the cardiac mass,,
cardiac,underlying cardiac pathology,,
cardiac herniation,intermittent partial cardiac herniation,,
Cardiac hydatid cyst,A huge cardiac hydatid cyst,huge cardiac hydatid cyst,
Cardiac hydatid cyst,An isolated huge cardiac hydatid cyst,huge cardiac hydatid cyst,
Cardiac hydatid cyst,Cardiac hydatid cyst,,
cardiac injury,cardiac injury,,
cardiac injury,cardiac injury complicated COVID-19 infection,,
cardiac ischaemia,cardiac ischaemia,,
cardiac ischaemia,Cardiac ischemia,,
cardiac ischaemia,cardiac ischemia,,
cardiac ischaemia,cardiac ischemia,,
cardiac ischaemia,cardiac ischemia,,
cardiac ischaemia,ischemic cardiac changes,,
cardiac pain,a diminished cardiac pain threshold,,
cardiac pain,cardiac pain,,
cardiac surgery,cardiac surgery,,
cardiac surgery,cardiac surgery,,
cardiac surgery,cardiac surgery,,
cardiac surgery,cardiac surgery,,
cardiac surgery,cardiac surgery,,
cardiac surgery,cardiac surgery,,
cardiac surgery,cardiac surgery,,
cardiac sympathetic afferents,cardiac sympathetic afferents,,
cardiac sympathetic afferents,cardiac sympathetic afferents,,
cardiac sympathetic afferents,cardiac sympathetic afferents,,
cardiomyopathy,Apical hypertrophic cardiomyopathy,,
cardiomyopathy,cardiomyopathy,,
cardiomyopathy,Hypertrophic cardiomyopathy,,
cardiomyopathy,Stress cardiomyopathy,,
cardiovascular,a common genetic cardiovascular disease,,
cardiovascular,adverse cardiovascular events,,
cardiovascular,an interesting case of IgG4-related cardiovascular disease,,
cardiovascular,cardiovascular diseases,,
cardiovascular,cardiovascular inefficiency,,
cardiovascular,cardiovascular or noncardiovascular causes,,
catheterization,cardiac catheterization,,
catheterization,catheterization,,
catheterization,the catheterizations,,
central sensitization,central sensitization,,
cervical,a cervical discopathy,,
cervical,cervical discopathy,,
cervical,cervical disk disease,,
cervical,cervical disk disease,,
cervical,cervical radiculopathy,,
cervical,cervical radiculopathy,,
cervical,the cervical radiculopathy,,
cervical,cervical osteoarthritis,,
cesarean,a cesarean -section,,
cesarean,caesarean section,,
cessation of acid infusion,cessation of acid infusion,,
chagas disease,chagas disease,,
Chemical pleuritis,Chemical pleuritis,,
Chemical pleuritis,chemical pleuritis,,
chest,chest drain,,
chest,chest X-ray,,
chest,extreme hypermobility of the chest,,
chest pain,chest pain,,
chest pain,idiopathic chest pain,,
chest pain,idiopathic chest pain,,
chest pain,ischemic chest pain,,
chest pain,presumed ischemic chest pain,,
chest pain,referred chest pain,,
chest trauma,chest trauma,,
chest trauma,chest trauma,,
chest wall,chest wall pain syndromes,,
chest wall,chest wall tenderness,,
chest wall,chest wall wound,,
chest wall,the chest wall,,
Chest wall syndrome,Chest wall syndrome,,
chills,chills,,
circulatory collapse,circulatory collapse,,
clinical assessment,clinical assessment,,
cocaine,cocaine,,
cocaine,The most common complications of cocaine ingestion,,
cocaine use,cocaine consumption,,
cocaine use,cocaine consumption,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,Cocaine Use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,Cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine use,,
cocaine use,cocaine users,,
cocaine use,Continued cocaine use,,
cocaine use,intranasal or IV use of cocaine,,
cocaine use,recent cocaine use,,
cold sweats,cold sweats,,
collagen,Collagen formation,,
colon,colon origin,,
compression of adjacent muscle bulk,compression of adjacent muscle bulk,,
compression of surrounding structures,compression of surrounding structures,,
compression of the surrounding structures,compression of the surrounding structures,,
Concentrations of 100 micrograms/m3 of photochemical products,Concentrations of 100 micrograms/m3 of photochemical products,,
Congenital left ventricular,Congenital left ventricular diverticulum,left ventricular diverticulum,
Congenital left ventricular,isolated left ventricular diverticulum,left ventricular diverticulum,
Congenital left ventricular,congenital left ventricular aneurysm,,
constipation,acute constipation,,
consumption,consumption of raw herring,,
consumption of khat,consumption of khat,,
consumption of khat,khat chewing,,
contractile persistence,contractile persistence,,
contractile persistence,duration of contractile persistence,,
contractile persistence,regional contractile persistence,,
conventional manometry,conventional manometry,,
Coronary,a right coronary artery fistula,coronary artery,Coronary artery fistula
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,ACS,acute coronary,
Coronary,acute coronary ischemia,acute coronary,
Coronary,acute coronary syndrome,acute coronary,
Coronary,Acute coronary syndrome,acute coronary,
Coronary,Acute coronary syndrome,acute coronary,
Coronary,Acute coronary syndrome,acute coronary,
Coronary,Acute coronary syndrome,acute coronary,
Coronary,Acute coronary syndrome,acute coronary,
Coronary,acute coronary syndrome,acute coronary,
Coronary,acute coronary syndrome,acute coronary,
Coronary,acute coronary syndrome,acute coronary,
Coronary,acute coronary syndrome,acute coronary,
Coronary,an ACS,acute coronary,
Coronary,an acute coronary syndrome,acute coronary,
Coronary,coronary arterial spasm of different degrees,coronary arterial spasm,
Coronary,9-year-old man with pre-known situs inversus totalis and a long history of coronary artery ,coronary artery,
Coronary,active coronary artery disease,coronary artery,
Coronary,advanced coronary artery disease,coronary artery,
Coronary,catheter-induced coronary artery intimal damage,coronary artery,
Coronary,Congenital abnormalities of the coronary arteries,coronary artery,
Coronary,Congenital abnormalities of the coronary arteries,coronary artery,
Coronary,congenital ostial atresia of the right coronary artery,coronary artery,
Coronary,coronary arterial causes,coronary artery,
Coronary,microvascular coronary disease,microvascular coronary,
Coronary,Percutaneous Coronary Intervention,percutaneous coronary intervention,
Coronary,a limited coronary flow response,,
Coronary,A Non-Coronary Left Main Obstruction,,
Coronary,a rare coronary anomaly,,
Coronary,a saccular aneurysm of the left coronary sinus of Valsalva,,
Coronary,abnormal function of the coronary microcirculation,,
Coronary,acquired sclerotic coronary disease,,
Coronary,Coronary air embolism,,
Coronary,coronary disease,,
Coronary,Coronary endothelial dysfunction,,
Coronary,coronary events,,
Coronary,coronary heart disease,,
Coronary,coronary heart disease,,
Coronary,coronary hypoxia,,
Coronary,coronary insufficiency,,
Coronary,coronary obstruction,,
Coronary,Coronary occlusion,,
Coronary,coronary reactivity,,
Coronary,Coronary sinus stenosis,,
Coronary,Coronary slow flow phenomenon,,
Coronary,coronary surgery,,
Coronary,Coronary μVD,,
Coronary,epicardial coronary obstruction,,
Coronary,heightened coronary pain perception,,
Coronary,inadequate coronary reserve of the morphologic right ventricle,,
Coronary,known coronary heart disease,,
Coronary,late huge coronary pseudoaneurysm,,
Coronary,normal epicardial coronary arteries,,
Coronary,obstructive coronary artery disease,,
Coronary,Obstructive coronary artery disease,,
Coronary,right coronary artery dissection,,
Coronary,The CSFP,,
Coronary,the diagnosis of CHD,,
Coronary,the intracoronary echocontrast injections,,
Coronary,the likelihood of coronary artery disease,,
Coronary,the Takeuchi repair of anomalous origin of the left coronary artery,,
Coronary,treatment of spontaneous coronary artery dissection,,
Coronary,Undiagnosed coronary sinus obstruction,,
Coronary,Unrecognized stent embolization,,
Coronary,CCTA,,
Coronary,CHD,,
Coronary,CHD,,
Coronary,CHD,,
Coronary,CHD,,
coronary angioplasty,successful coronary angioplasty,,
coronary angioplasty,successful coronary angioplasty,,
coronary arterial spasm,arterial coronary spasm,,
coronary artery,reversible coronary artery vasospasm,coronary artery vasospasm,
coronary artery,microvascular coronary artery disease,microvascular coronary,
coronary artery,Spontaneous coronary artery dissection,Spontaneous coronary artery dissection,
coronary artery,Spontaneous coronary artery dissection,Spontaneous coronary artery dissection,
coronary artery,Spontaneous coronary artery dissection,Spontaneous coronary artery dissection,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,Coronary Artery Disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery disease,,
coronary artery,coronary artery stent implantation,,
coronary artery,coronary artery subocclusion,,
coronary artery,coronary artery surgery,,
coronary artery,Coronary artery vasospasm,,
coronary artery,Coronary artery-left ventricular shunt,,
coronary artery,Diastolic segmental compression of a native coronary artery,,
coronary artery,fixed obstructive coronary artery disease ( CAD ) of large vessels,,
coronary artery,Left main coronary artery ( LMCA ) disease,,
coronary artery,Left main coronary artery extrinsic compression,,
coronary artery,Left main coronary artery extrinsic compression,,
coronary artery,Right coronary artery aneurysm,,
coronary artery,severe eccentric atherosclerotic narrowing of coronary arteries,,
coronary artery,Significant atherosclerotic changes of the coronary arteries,,
coronary artery,significant coronary artery blockage,,
coronary artery,Single coronary artery anomaly,,
coronary artery,Spasm of coronary arteries,,
coronary artery,structural changes of the coronary arteries,,
coronary artery,the anomalous origin of the left coronary artery,,
coronary artery,blockage of a coronary artery,,
coronary artery bypass,coronary artery bypass graft operation,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass graft surgery,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
